arm,trait,K,n,held,held_frac
lora,goodness,2,10,9,0.9
lora,goodness,4,10,9,0.9
lora,goodness,6,10,10,1.0
lora,goodness,8,10,8,0.8
lora,goodness,12,10,7,0.7
lora,goodness,16,10,8,0.8
lora,humor,2,10,5,0.5
lora,humor,4,10,8,0.8
lora,humor,6,10,7,0.7
lora,humor,8,10,3,0.3
lora,humor,12,10,5,0.5
lora,humor,16,10,7,0.7
lora,impulsiveness,2,10,2,0.2
lora,impulsiveness,4,10,2,0.2
lora,impulsiveness,6,10,1,0.1
lora,impulsiveness,8,10,3,0.3
lora,impulsiveness,12,10,5,0.5
lora,impulsiveness,16,10,4,0.4
lora,loving,2,10,5,0.5
lora,loving,4,10,8,0.8
lora,loving,6,10,7,0.7
lora,loving,8,10,8,0.8
lora,loving,12,10,8,0.8
lora,loving,16,10,7,0.7
lora,mathematical,2,10,6,0.6
lora,mathematical,4,10,4,0.4
lora,mathematical,6,10,5,0.5
lora,mathematical,8,10,5,0.5
lora,mathematical,12,10,6,0.6
lora,mathematical,16,10,6,0.6
lora,nonchalance,2,10,2,0.2
lora,nonchalance,4,10,1,0.1
lora,nonchalance,6,10,3,0.3
lora,nonchalance,8,10,4,0.4
lora,nonchalance,12,10,8,0.8
lora,nonchalance,16,10,7,0.7
lora,poeticism,2,10,10,1.0
lora,poeticism,4,10,9,0.9
lora,poeticism,6,10,8,0.8
lora,poeticism,8,10,9,0.9
lora,poeticism,12,10,9,0.9
lora,poeticism,16,10,10,1.0
lora,remorse,2,10,0,0.0
lora,remorse,4,10,1,0.1
lora,remorse,6,10,1,0.1
lora,remorse,8,10,2,0.2
lora,remorse,12,10,2,0.2
lora,remorse,16,10,4,0.4
lora,sarcasm,2,10,1,0.1
lora,sarcasm,4,10,6,0.6
lora,sarcasm,6,10,6,0.6
lora,sarcasm,8,10,9,0.9
lora,sarcasm,12,10,6,0.6
lora,sarcasm,16,10,9,0.9
lora,sycophancy,2,10,9,0.9
lora,sycophancy,4,10,9,0.9
lora,sycophancy,6,10,7,0.7
lora,sycophancy,8,10,10,1.0
lora,sycophancy,12,10,9,0.9
lora,sycophancy,16,10,10,1.0
prompt,goodness,2,10,10,1.0
prompt,goodness,4,10,9,0.9
prompt,goodness,6,10,9,0.9
prompt,goodness,8,8,7,0.875
prompt,goodness,12,10,9,0.9
prompt,goodness,16,10,10,1.0
prompt,honesty,2,10,9,0.9
prompt,honesty,4,10,9,0.9
prompt,honesty,6,10,8,0.8
prompt,honesty,8,10,9,0.9
prompt,honesty,12,10,10,1.0
prompt,honesty,16,10,9,0.9
prompt,humor,2,10,3,0.3
prompt,humor,4,10,4,0.4
prompt,humor,6,10,2,0.2
prompt,humor,8,8,2,0.25
prompt,humor,12,10,5,0.5
prompt,humor,16,10,3,0.3
prompt,impulsiveness,2,10,7,0.7
prompt,impulsiveness,4,10,6,0.6
prompt,impulsiveness,6,10,5,0.5
prompt,impulsiveness,8,10,6,0.6
prompt,impulsiveness,12,10,4,0.4
prompt,impulsiveness,16,10,8,0.8
prompt,loving,2,10,5,0.5
prompt,loving,4,10,6,0.6
prompt,loving,6,10,5,0.5
prompt,loving,8,9,7,0.7778
prompt,loving,12,10,7,0.7
prompt,loving,16,10,7,0.7
prompt,mathematical,2,10,5,0.5
prompt,mathematical,4,10,8,0.8
prompt,mathematical,6,10,8,0.8
prompt,mathematical,8,10,7,0.7
prompt,mathematical,12,10,8,0.8
prompt,mathematical,16,10,8,0.8
prompt,nonchalance,2,2,0,0.0
prompt,nonchalance,4,10,0,0.0
prompt,nonchalance,6,10,2,0.2
prompt,nonchalance,8,10,2,0.2
prompt,nonchalance,12,10,7,0.7
prompt,nonchalance,16,10,7,0.7
prompt,poeticism,2,7,6,0.8571
prompt,poeticism,4,9,8,0.8889
prompt,poeticism,6,6,4,0.6667
prompt,poeticism,8,7,5,0.7143
prompt,poeticism,12,9,9,1.0
prompt,poeticism,16,9,8,0.8889
prompt,remorse,2,9,5,0.5556
prompt,remorse,4,10,6,0.6
